TID	Items	Quantities	Profit	Utility
T12	1,3,5,7,9,11,13,15,17,20,21,24,25,27,29,31,34,36,38,40,42,44,47,48,50,52,54,56,58,60,62,65,66,68,70,72,74	1,4,3,1,3,2,4,4,4,3,4,3,4,2,1,1,2,4,2,1,3,1,2,3,4,3,3,1,3,1,2,2,3,2,1,1,1	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-2,-1,-4,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	1,-8,12,4,-12,-10,-4,-20,-20,-6,-8,15,-12,4,-1,4,-2,-12,-4,-4,-9,-1,-4,-3,-16,-3,-15,-3,-6,-5,-8,8,-9,-8,3,2,-4
T13	1,3,5,7,9,11,13,15,17,20,21,24,25,27,29,31,34,36,38,40,43,44,47,48,50,52,54,56,58,60,62,65,66,68,70,72,74	1,4,2,2,2,2,1,4,2,3,2,4,2,3,4,3,3,1,4,2,1,4,2,1,2,1,3,2,2,4,4,1,3,3,4,2,2	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,5,-3,2,-1,4,-1,-3,-2,-4,-2,-1,-2,-1,-4,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	1,-8,8,8,-8,-10,-1,-20,-10,-6,-4,20,-6,6,-4,12,-3,-3,-8,-8,-2,-4,-4,-1,-8,-1,-15,-6,-4,-20,-16,4,-9,-12,12,4,-8
T14	1,3,5,7,9,12,13,15,17,20,21,24,25,27,29,31,34,36,38,40,42,44,47,48,50,52,54,56,58,60,62,65,66,68,70,72,74	3,4,2,3,4,2,4,1,3,2,1,4,4,1,1,1,2,1,4,4,4,2,3,1,2,3,4,1,1,4,4,3,1,1,3,4,4	1,-2,4,4,-4,1,-1,-5,-5,-2,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-2,-1,-4,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	3,-8,8,12,-16,2,-4,-5,-15,-4,-2,20,-12,2,-1,4,-2,-3,-8,-16,-12,-2,-6,-1,-8,-3,-20,-3,-2,-20,-16,12,-3,-4,9,8,-16
T15	1,3,5,7,9,12,13,15,17,19,21,24,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	2,4,3,1,2,4,2,1,2,3,4,4,2,1,2,2,4,4,3,1,2,2,4,3,1,1,2,2,4,2,1,4,1,3,2,4,3	1,-2,4,4,-4,1,-1,-5,-5,-5,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-8,12,4,-8,4,-2,-5,-10,-15,-8,20,-6,2,-2,8,-4,-12,-6,-4,-6,-2,-16,-3,1,-1,-10,-6,-8,-10,-4,-12,-3,-12,6,8,-12
T16	1,3,5,7,9,11,13,15,17,19,21,24,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,65,66,68,70,72,74	3,3,4,1,3,3,1,4,4,3,4,3,3,3,3,1,1,3,3,2,2,1,3,3,4,3,1,4,1,4,1,3,4,1,2,2,2	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	3,-6,16,4,-12,-15,-1,-20,-20,-15,-8,15,-9,6,-3,4,-1,-9,-6,-8,-6,-1,-12,-3,4,-3,-5,-12,-2,-20,-4,12,-12,-4,6,4,-8
T17	1,3,5,7,9,12,13,16,17,19,21,24,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	4,1,3,1,1,2,3,4,3,3,2,4,3,3,3,2,3,1,3,1,2,1,3,3,4,4,1,4,3,3,1,3,1,4,4,2,4	1,-2,4,4,-4,1,-1,-4,-5,-5,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-2,12,4,-4,2,-3,-16,-15,-15,-4,20,-9,6,-3,8,-3,-3,-6,-4,-6,-1,-12,-3,4,-4,-5,-12,-6,-15,-4,-9,-3,-16,12,4,-16
T18	1,3,5,7,9,11,13,15,17,20,21,24,25,27,29,31,34,36,38,40,42,44,47,48,51,52,54,56,58,60,62,64,66,68,70,72,74	1,2,1,4,4,3,2,1,1,3,3,1,1,2,3,3,4,2,2,2,4,4,2,2,3,1,3,3,4,1,4,1,3,2,3,3,4	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-2,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-4,4,16,-16,-15,-2,-5,-5,-6,-6,5,-3,4,-3,12,-4,-6,-4,-8,-12,-4,-4,-2,3,-1,-15,-9,-8,-5,-16,-3,-9,-8,9,6,-16
T19	1,3,5,7,9,11,13,15,17,20,21,24,25,27,29,31,34,36,38,40,42,44,47,48,51,52,54,56,58,60,62,65,66,68,70,72,74	2,4,1,4,3,3,3,3,4,2,2,3,3,4,1,2,3,4,1,4,1,1,2,4,3,3,2,1,2,2,1,3,3,1,3,3,1	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-2,-1,1,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	2,-8,4,16,-12,-15,-3,-15,-20,-4,-4,15,-9,8,-1,8,-3,-12,-2,-16,-3,-1,-4,-4,3,-3,-10,-3,-4,-10,-4,12,-9,-4,9,6,-4
T20	1,3,5,7,9,11,13,15,17,20,21,24,25,27,29,31,34,36,38,40,43,44,47,48,51,52,54,56,58,60,62,65,66,68,70,72,74	1,1,3,2,1,1,1,1,3,2,3,2,2,4,3,2,2,1,3,2,3,1,3,4,3,4,2,1,1,1,3,1,1,3,3,3,4	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,5,-3,2,-1,4,-1,-3,-2,-4,-2,-1,-2,-1,1,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	1,-2,12,8,-4,-5,-1,-5,-15,-4,-6,10,-6,8,-3,8,-2,-3,-6,-8,-6,-1,-6,-4,3,-4,-10,-3,-2,-5,-12,4,-3,-12,9,6,-16
T21	1,3,5,7,9,12,13,15,17,20,21,24,25,27,29,31,34,36,38,40,42,44,47,48,51,52,54,56,58,60,62,65,66,68,70,72,74	4,3,1,1,1,2,2,4,1,3,3,1,2,2,4,3,2,4,3,3,3,3,4,4,1,1,3,3,2,1,1,1,4,1,2,2,3	1,-2,4,4,-4,1,-1,-5,-5,-2,-2,5,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-2,-1,1,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	4,-6,4,4,-4,2,-2,-20,-5,-6,-6,5,-6,4,-4,12,-2,-12,-6,-12,-9,-3,-8,-4,1,-1,-15,-9,-4,-5,-4,4,-12,-4,6,4,-12
T22	1,3,5,7,9,11,13,15,17,19,21,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	1,4,3,2,1,3,1,1,2,4,1,3,1,2,1,2,4,4,1,2,4,1,1,1,1,3,4,1,2,4,4,2,4,4,4,1,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-8,12,8,-4,-15,-1,-5,-10,-20,-2,15,-3,4,-1,-8,-4,-12,-2,-8,-12,-1,-4,-1,-4,-3,-20,-3,-4,-20,-16,-6,-12,-16,12,2,-4
T23	1,3,5,7,9,11,13,15,17,19,21,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,65,66,68,70,72,74	2,3,3,3,1,1,2,2,1,3,1,3,4,2,4,1,2,4,3,2,4,4,3,3,1,3,4,3,3,4,3,2,4,2,2,3,4	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	2,-6,12,12,-4,-5,-2,-10,-5,-15,-2,15,-12,4,-4,-4,-2,-12,-6,-8,-12,-4,-12,-3,-4,-3,-20,-9,-6,-20,-12,8,-12,-8,6,6,-16
T24	1,3,5,7,9,11,13,15,17,19,21,24,25,27,29,32,34,36,38,40,43,44,46,48,50,52,54,56,58,60,62,65,66,68,70,72,74	1,2,4,3,2,1,4,1,2,1,1,1,2,4,4,4,3,3,1,3,3,2,1,4,3,1,4,2,1,2,3,4,4,1,2,1,2	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-2,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	1,-4,16,12,-8,-5,-4,-5,-10,-5,-2,5,-6,8,-4,-16,-3,-9,-2,-12,-6,-2,-4,-4,-12,-1,-20,-6,-2,-10,-12,16,-12,-4,6,2,-8
T25	1,3,5,7,9,11,13,16,17,19,21,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	4,1,2,4,1,1,2,4,3,3,2,4,4,1,4,1,3,4,2,2,2,3,2,4,4,3,3,3,1,2,3,2,2,1,3,3,4	1,-2,4,4,-4,-5,-1,-4,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-2,8,16,-4,-5,-2,-16,-15,-15,-4,20,-12,2,-4,-4,-3,-12,-4,-8,-6,-3,-8,-4,-16,-3,-15,-9,-2,-10,-12,-6,-6,-4,9,6,-16
T26	1,3,5,7,9,12,13,16,17,19,21,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	3,4,3,3,2,2,1,4,1,1,3,3,1,3,2,3,1,2,1,3,4,3,1,3,3,3,4,4,3,4,4,4,3,1,4,4,2	1,-2,4,4,-4,1,-1,-4,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-8,12,12,-8,2,-1,-16,-5,-5,-6,15,-3,6,-2,-12,-1,-6,-2,-12,-12,-3,-4,-3,-12,-3,-20,-12,-6,-20,-16,-12,-9,-4,12,8,-8
T27	1,3,5,7,9,11,13,15,17,20,21,24,25,27,29,32,34,36,38,40,42,44,47,48,50,52,54,56,58,60,62,64,66,68,70,72,74	2,4,2,2,3,4,3,1,2,1,3,3,3,1,4,2,1,2,4,1,2,3,1,2,1,4,4,4,2,1,3,1,1,3,2,3,1	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-2,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-8,8,8,-12,-20,-3,-5,-10,-2,-6,15,-9,2,-4,-8,-1,-6,-8,-4,-6,-3,-2,-2,-4,-4,-20,-12,-4,-5,-12,-3,-3,-12,6,6,-4
T28	1,3,5,7,9,11,13,15,17,19,21,24,25,27,29,32,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	2,1,3,1,4,2,2,4,3,3,4,1,2,1,4,3,3,1,1,4,1,2,2,2,1,1,2,2,2,4,2,3,2,4,2,2,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-2,12,4,-16,-10,-2,-20,-15,-15,-8,5,-6,2,-4,-12,-3,-3,-2,-16,-3,-2,-8,-2,1,-1,-10,-6,-4,-20,-8,-9,-6,-16,6,4,-4
T29	1,3,5,7,9,11,13,15,17,19,21,24,25,27,29,32,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,65,66,68,70,72,74	4,4,3,4,4,4,1,3,4,4,4,2,4,1,2,3,3,2,3,3,1,1,2,2,2,4,1,3,3,2,2,2,2,4,1,1,3	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	4,-8,12,16,-16,-20,-1,-15,-20,-20,-8,10,-12,2,-2,-12,-3,-6,-6,-12,-3,-1,-8,-2,2,-4,-5,-9,-6,-10,-8,8,-6,-16,3,2,-12
T30	1,3,5,7,9,11,13,15,17,19,21,24,25,27,29,32,34,36,38,40,43,44,46,48,51,52,54,56,58,60,62,65,66,68,70,72,74	4,1,4,4,4,2,4,1,1,1,4,1,3,4,4,4,3,3,3,2,2,2,3,1,1,4,3,2,4,1,3,2,3,1,3,2,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-2,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	4,-2,16,16,-16,-10,-4,-5,-5,-5,-8,5,-9,8,-4,-16,-3,-9,-6,-8,-4,-2,-12,-1,1,-4,-15,-6,-8,-5,-12,8,-9,-4,9,4,-4
T31	1,3,5,7,9,11,13,15,17,20,21,24,25,27,29,32,34,36,38,40,42,44,47,48,51,52,54,56,58,60,62,64,66,68,70,72,74	2,4,3,4,3,3,1,4,2,4,3,2,2,4,3,3,4,4,1,3,2,4,2,1,1,2,1,4,1,4,4,1,2,2,3,1,4	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-2,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-8,12,16,-12,-15,-1,-20,-10,-8,-6,10,-6,8,-3,-12,-4,-12,-2,-12,-6,-4,-4,-1,1,-2,-5,-12,-2,-20,-16,-3,-6,-8,9,2,-16
T32	1,3,5,7,9,11,13,15,17,19,21,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,73,74	4,1,2,4,1,1,4,4,1,1,2,3,4,2,2,1,1,2,1,1,3,1,4,1,2,1,3,4,2,1,4,1,1,1,2,3,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-2,8,16,-4,-5,-4,-20,-5,-5,-4,15,-12,4,-2,-4,-1,-6,-2,-4,-9,-1,-16,-1,-8,-1,-15,-12,-4,-5,-16,-3,-3,-4,6,6,-4
T33	1,3,5,7,9,11,13,15,17,19,21,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,65,66,68,70,73,74	3,2,4,3,2,2,4,2,3,4,1,3,3,3,2,2,1,2,1,1,3,3,3,2,3,3,2,2,4,4,3,4,3,2,3,4,3	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	3,-4,16,12,-8,-10,-4,-10,-15,-20,-2,15,-9,6,-2,-8,-1,-6,-2,-4,-9,-3,-12,-2,-12,-3,-10,-6,-8,-20,-12,16,-9,-8,9,8,-12
T34	1,3,5,7,9,11,13,16,17,19,21,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,73,74	3,2,4,3,1,4,4,1,2,2,4,1,1,3,3,2,3,3,1,1,4,3,1,2,2,2,1,4,4,4,4,1,2,4,3,3,3	1,-2,4,4,-4,-5,-1,-4,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-4,16,12,-4,-20,-4,-4,-10,-10,-8,5,-3,6,-3,-8,-3,-9,-2,-4,-12,-3,-4,-2,-8,-2,-5,-12,-8,-20,-16,-3,-6,-16,9,6,-12
T35	1,3,5,7,9,12,13,16,17,19,21,24,25,27,29,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,73,74	2,4,2,2,4,3,4,4,1,4,4,3,1,2,2,1,3,4,4,3,2,2,2,3,3,3,2,1,4,1,1,4,4,4,4,3,3	1,-2,4,4,-4,1,-1,-4,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-8,8,8,-16,3,-4,-16,-5,-20,-8,15,-3,4,-2,-4,-3,-12,-8,-12,-6,-2,-8,-3,-12,-3,-10,-3,-8,-5,-4,-12,-12,-16,12,6,-12
T36	1,3,5,7,9,12,13,16,17,19,21,24,25,27,29,32,34,36,38,40,43,44,46,48,50,52,54,56,58,60,62,64,66,68,70,73,74	4,1,4,1,3,4,1,4,1,1,3,4,2,4,4,1,4,4,1,3,4,1,3,4,4,3,1,3,1,1,3,3,1,1,2,4,4	1,-2,4,4,-4,1,-1,-4,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-2,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-2,16,4,-12,4,-1,-16,-5,-5,-6,20,-6,8,-4,-4,-4,-12,-2,-12,-8,-1,-12,-4,-16,-3,-5,-9,-2,-5,-12,-9,-3,-4,6,8,-16
T37	1,3,5,7,9,11,13,15,17,20,21,24,25,27,29,32,34,36,38,40,42,44,47,48,50,52,54,56,58,60,62,64,66,68,70,73,74	3,4,4,3,2,4,2,2,4,3,2,1,4,1,4,2,1,3,3,2,2,1,4,2,4,3,2,3,1,3,2,4,3,1,1,1,4	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-2,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-8,16,12,-8,-20,-2,-10,-20,-6,-4,5,-12,2,-4,-8,-1,-9,-6,-8,-6,-1,-8,-2,-16,-3,-10,-9,-2,-15,-8,-12,-9,-4,3,2,-16
T38	1,3,5,7,9,11,13,15,17,19,21,24,25,27,29,32,34,36,38,40,42,44,46,48,51,52,54,56,58,60,62,65,66,68,70,73,74	1,1,4,3,1,3,1,3,1,2,2,1,1,4,3,3,4,3,4,1,3,4,2,2,4,2,2,2,2,4,2,1,1,4,3,3,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,4,-3,-4,3,2,-4	1,-2,16,12,-4,-15,-1,-15,-5,-10,-4,5,-3,8,-3,-12,-4,-9,-8,-4,-9,-4,-8,-2,4,-2,-10,-6,-4,-20,-8,4,-3,-16,9,6,-4
T39	1,3,5,7,9,11,13,15,17,20,21,24,25,27,29,32,34,36,38,40,42,44,47,48,51,52,54,56,58,60,62,64,66,68,70,73,74	1,1,3,4,4,4,2,3,4,1,2,3,4,4,2,3,3,3,1,1,3,3,3,1,2,1,2,3,3,4,4,2,2,1,3,3,4	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,5,-3,2,-1,-4,-1,-3,-2,-4,-3,-1,-2,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-2,12,16,-16,-20,-2,-15,-20,-2,-4,15,-12,8,-2,-12,-3,-9,-2,-4,-9,-3,-6,-1,2,-1,-10,-9,-6,-20,-16,-6,-6,-4,9,6,-16
